layer,sp,form,f1,f2,f3,f4,f5,F1,F2,F3,F4,F5,c1,c2,c3,c4,c5,di1,di2,di3,di4,di5,cal
C,オシダ,f,0.11538461538461539,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.15384615384615385,Ⅰ,Ⅱ,Ⅱ,Ⅱ,Ⅰ,0.04,0.24,0.2,0.148,0.128,2.1483446221182985,8.593378488473194,7.337993857053427,6.312380996593427,4.437601569801832,1
C,カメバヒキオコシ,h,0.19230769230769232,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.11538461538461539,Ⅰ,Ⅰ,Ⅱ,Ⅱ,Ⅰ,0.14,0.1,0.148,0.228,0.088,5.188745216627709,4.385290096535146,5.844129204068486,7.253646297923867,3.1865100272627656,1
C,ギンリョウソウ,h,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,-,Ⅰ,Ⅰ,Ⅰ,-,0,0.02,0.02,0.02,0,0,1.2403473458920846,1.2403473458920846,1.2403473458920846,0,0
C,クルマバソウ,h,0,0.07692307692307693,0,0,0,-,Ⅰ,-,-,-,0,0.02,0,0,0,0,1.2403473458920846,0,0,0,0
C,クルマバハグマ,h,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,-,-,Ⅰ,Ⅰ,Ⅰ,0,0,0.02,0.02,0.004,0,0,1.2403473458920846,1.2403473458920846,0.554700196225229,0
C,コカンスゲ,h,0.9230769230769231,0,0.07692307692307693,0,0,Ⅴ,-,Ⅰ,-,-,4.12,0,0.04,0,0,61.66909212139355,0,1.7541160386140586,0,0,0
C,サカゲイノデ,f,0,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.07692307692307693,-,Ⅰ,Ⅰ,Ⅰ,Ⅰ,0,0.04,0.08,0.02,0.02,0,2.1483446221182985,2.4806946917841692,1.2403473458920846,1.2403473458920846,0
C,サラシナショウマ,h,0,0.07692307692307693,0,0,0,-,Ⅰ,-,-,-,0,0.02,0,0,0,0,1.2403473458920846,0,0,0,0
C,サワダツ,ds,0,0,0.19230769230769232,0.07692307692307693,0.07692307692307693,-,-,Ⅰ,Ⅰ,Ⅰ,0,0,0.08,0.02,0.004,0,0,3.9223227027636804,1.2403473458920846,0.554700196225229,0
C,サンカヨウ,h,0,0.07692307692307693,0,0.07692307692307693,0,-,Ⅰ,-,Ⅰ,-,0,0.02,0,0.02,0,0,1.2403473458920846,0,1.2403473458920846,0,0
C,シノブカグマ,f,0,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.11538461538461539,-,Ⅰ,Ⅱ,Ⅰ,Ⅰ,0,0.06,0.12,0.06,0.04,0,3.038218101251,5.262348115842174,2.1483446221182985,2.1483446221182985,0
