サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,X,no,II_
9,B2,ウワミズザクラ,4,2,2,2,NA,357,2
9,B2,オオカメノキ,5,12,25,21,NA,358,5
9,B2,オオバクロモジ,4,2,4,7,NA,359,2
9,B2,コシアブラ,0,0.5,1,,NA,360,0.5
9,B2,サワフタギ,0,3,3,7,NA,361,3
9,B2,タムシバ,0,0.5,0.5,0.5,NA,362,0.5
9,B2,ツノハシバミ,0.5,0,0,,NA,363,0
9,B2,ハイイヌガヤ,0.5,0,0,,NA,364,0
9,B2,ハイイヌツゲ,0.5,0,0,,NA,365,0
9,B2,ヒメモチ,0,0.5,0.5,0.5,NA,366,0.5
9,B2,ブナ,6,25,5,58,NA,367,6
9,B2,ミズキ,3,0,0,,NA,368,0
9,B2,メイゲツカエデ,0,4,5,5,NA,369,3
9,B2,ヤマウルシ,0,0.5,0.5,0.5,NA,370,0.5
9,B2,マユミ,4,0,0,,NA,371,0
9,C,エンレイソウ,0,0.5,0,,NA,372,0.5
9,C,シラネワラビ,6,20,25,30,NA,373,6
9,C,タチシオデ,0,0.5,0,,NA,374,0.5
9,C,ツルアリドオシ,0.5,0,0,,NA,375,0
9,C,ミヤマカンスゲ,0,10,12,8,NA,376,5
9,C,ヤマソテツ,4,4,3,5,NA,377,3
9,C,ユキザサ,3,4,1,1,NA,378,3
9,C,コカンスゲ,4,0,0,,NA,379,0
9,C,ヒロハユキザサ,NA,NA,0.5,0.5,NA,380,NA
9,C,ヤマイヌワラビ,NA,NA,0.5,0.5,NA,381,NA
9,S,チシマザサ,8,50,10,12,NA,382,8
NA,,ホオノキ,NA,NA,,1,NA,NA,NA
NA,,コマユミ,NA,NA,,0.5,NA,NA,NA
10,B2,アオダモ,0,0.5,0.5,,NA,387,0.5
10,B2,イタヤカエデ,0.5,0,0,,NA,397,0
10,B2,ウリハダカエデ,0,5,2,2,NA,398,4
10,B2,ウワミズザクラ,4,6,5,5,NA,399,4
10,B2,オオカメノキ,5,15,10,4,NA,400,5
10,B2,オオバクロモジ,0,2,6,7,NA,401,2
10,B2,サワフタギ,0,0.5,0,0.5,NA,402,0.5
10,B2,トチノキ,0,0.5,0,,NA,403,0.5
10,B2,ハイイヌツゲ,0.5,0,0,,NA,404,0
10,B2,ヒメモチ,0,2,2,2,NA,405,2
10,B2,ホオノキ,0,3,1,1,NA,406,3
10,B2,ミズキ,3,0,0.5,0.5,NA,407,0
10,B2,メイゲツカエデ,0,3,3,,NA,408,3
10,B2,ヤマウルシ,1,0.5,1,1,NA,409,0.5
10,B2,マユミ,3,0,0,,NA,410,0
10,C,ギンリョウソウ,0,0.5,0.5,,NA,411,0.5
10,C,シラネワラビ,5,18,20,15,NA,412,5
10,C,タケシマラン,0,0.5,0,,NA,413,0.5
10,C,タニギキョウ,0,0.5,0,,NA,414,0.5
10,C,チゴユリ,3,3,1,1,NA,415,3
10,C,ツクバネソウ,0,0.5,0,,NA,416,0.5
10,C,ツルアリドオシ,0.5,1,0,,NA,417,1
10,C,ヒメカンアオイ,2,0,0.5,,NA,418,0
10,C,ミヤマカンスゲ,0,5,15,8,NA,419,4
10,C,ヤマイヌワラビ,0,0.5,0,0.5,NA,420,0.5
10,C,ヤマソテツ,4,5,4,13,NA,421,4
10,C,ユキザサ,4,4,1,1,NA,422,3
10,C,ホウチャクソウ,0.5,0,0,,NA,423,0
10,C,ツルリンドウ,NA,NA,0.5,0.5,NA,424,NA
10,C,ミヤマウズラ,NA,NA,0.5,,NA,425,NA
10,C,マイヅルソウ,NA,NA,0.5,,NA,426,NA
10,S,チシマザサ,8,50,10,13,NA,427,8
NA,,コシアブラ,NA,NA,,2,NA,NA,NA
NA,,エンレイソウ,NA,NA,,0.5,NA,NA,NA
NA,,ブナ,NA,NA,,5,NA,NA,NA
NA,,ツリバナ,NA,NA,,0.5,NA,NA,NA
NA,,サンカヨウ,NA,NA,,0.5,NA,NA,NA
NA,,タチシオデ,NA,NA,,0.5,NA,NA,NA
NA,,ヒメアオキ,NA,NA,,0.5,NA,NA,NA
NA,,トチノキ,NA,NA,,0.5,NA,NA,NA
11,B2,アオダモ,0,1,1,1,NA,431,1
11,B2,イタヤカエデ,0.5,1,0.5,0.5,NA,440,1
11,B2,ウリハダカエデ,0,2,1,1,NA,441,2
11,B2,ウワミズザクラ,3,0,0,0,NA,442,0
11,B2,オオカメノキ,5,18,30,20,NA,443,5
11,B2,オオバクロモジ,5,6,10,13,NA,444,4
11,B2,コシアブラ,0,0.5,1,3,NA,445,0.5
11,B2,コマユミ,4,0.5,0.5,0.2,NA,446,0.5
11,B2,ツノハシバミ,0,0.5,0,0,NA,447,0.5
11,B2,ツリバナ,0,0.5,0.5,0,NA,448,0.5
11,B2,トチノキ,0.5,0,0.5,0,NA,449,0
11,B2,ノリウツギ,2,0,0,0,NA,450,0
11,B2,ハイイヌガヤ,1,6,1,2,NA,451,4
11,B2,ハイイヌツゲ,0,1,0,0,NA,452,1
11,B2,ヒメアオキ,0,5,5,3,NA,453,4
11,B2,ヒメモチ,0,2,2,2,NA,454,2
11,B2,ミズキ,4,0.5,0.5,,NA,455,0.5
11,B2,メイゲツカエデ,0,1,1,1,NA,456,1
11,B2,マユミ,1,0,0,,NA,457,0
11,B2,ブナ,NA,NA,3,2,NA,458,NA
11,B2,ヤマウルシ,NA,NA,0.5,3,NA,459,NA
11,C,クサアジサイ,0,1,0.5,,NA,460,1
11,C,シラネワラビ,5,15,30,30,NA,461,5
11,C,タニギキョウ,0,0.5,0.5,,NA,462,0.5
11,C,チゴユリ,0.5,2,1,0.2,NA,463,2
11,C,ツルアリドオシ,3,3,0.5,0.5,NA,464,3
11,C,ナライシダ,0,3,0.5,0,NA,465,3
11,C,ミヤマウズラ,0,0.5,0.5,0.2,NA,466,0.5
11,C,ミヤマカンスゲ,0,10,20,20,NA,467,5
11,C,ヤマイヌワラビ,0,0.5,0,1,NA,468,0.5
11,C,ヤマソテツ,4,4,3,5,NA,469,3
11,C,ユキザサ,0.5,3,0,0.5,NA,470,3
11,C,コカンスゲ,5,0,1,,NA,471,0
11,C,オオイタヤメイゲツ,NA,NA,1,0,NA,472,NA
11,C,タチシオデ,NA,NA,0.5,0.2,NA,473,NA
11,C,ヒメカンアオイ,NA,NA,1,1,NA,474,NA
11,C,シノブカグマ,NA,NA,0.5,,NA,475,NA
11,S,チシマザサ,8,60,40,40,NA,476,8
